Y,Anom,Buffer_length,Subsampling,Precision,Confidence,Source_file_nom,Source_file_abn
Y1,K001CSV,64,2048,0.75875,0.7757499999999999,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,K001CSV,64,2048,0.76875,0.6448,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,K001CSV,64,2048,0.8156,0.74085,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y12,K001CSV,64,2048,0.7981499999999999,0.7942,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,K001CSV,64,2048,0.732777,0.494319,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y1,K002CSV,64,2048,0.7781,0.7479,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,K002CSV,64,2048,0.78375,0.6054999999999999,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,K002CSV,64,2048,0.80065,0.6453,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y12,K002CSV,64,2048,0.8543499999999999,0.77225,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,K002CSV,64,2048,0.734734,0.490029,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y1,K003CSV,64,2048,0.76125,0.77445,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,K003CSV,64,2048,0.7644,0.7664500000000001,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,K003CSV,64,2048,0.80065,0.6453,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y12,K003CSV,64,2048,0.83815,0.78565,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,K003CSV,64,2048,0.733923,0.491682,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y1,K004CSV,64,2048,0.7563,0.76735,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,K004CSV,64,2048,0.75815,0.64185,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,K004CSV,64,2048,0.80065,0.6453,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y12,K004CSV,64,2048,0.8112999999999999,0.7986,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,K004CSV,64,2048,0.73592,0.493102,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y1,K005CSV,64,2048,0.7725,0.7584,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,K005CSV,64,2048,0.76875,0.6448,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,K005CSV,64,2048,0.78505,0.6375500000000001,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y12,K005CSV,64,2048,0.8081499999999999,0.65535,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,K005CSV,64,2048,0.732887,0.493854,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y1,K006CSV,64,2048,0.77625,0.6542,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,K006CSV,64,2048,0.76875,0.6448,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,K006CSV,64,2048,0.7968500000000001,0.7431,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y12,K006CSV,64,2048,0.8187,0.72325,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,K006CSV,64,2048,0.733247,0.495563,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
